# 8822E regulatory TX-power limit (array_mp_8822e_txpwr_lmt, all regions)
# fields: reg band bw rs ntx ch val  (reg: FCC=0 ETSI=1 MKK=2 WW13=3 IC=4 KCC=5 ACMA=6 CHILE=7 UKRAINE=8 MEXICO=9 CN=10 QATAR=11 UK=12; band 2.4G=0 5G=1; bw 20/40/80/160=0..3; rs CCK/OFDM/HT/VHT=0..3; ntx 1T/2T=0/1; val=power-index limit)
10 0 0 2 0 5 60
0 0 0 2 0 6 76
1 0 0 2 0 6 60
2 0 0 2 0 6 76
4 0 0 2 0 6 76
5 0 0 2 0 6 76
6 0 0 2 0 6 60
7 0 0 2 0 6 76
8 0 0 2 0 6 60
9 0 0 2 0 6 76
10 0 0 2 0 6 60
0 0 0 2 0 7 76
1 0 0 2 0 7 60
2 0 0 2 0 7 76
4 0 0 2 0 7 76
5 0 0 2 0 7 76
6 0 0 2 0 7 60
7 0 0 2 0 7 76
8 0 0 2 0 7 60
9 0 0 2 0 7 76
10 0 0 2 0 7 60
0 0 0 2 0 8 68
1 0 0 2 0 8 60
2 0 0 2 0 8 76
4 0 0 2 0 8 68
5 0 0 2 0 8 76
6 0 0 2 0 8 60
7 0 0 2 0 8 68
8 0 0 2 0 8 60
9 0 0 2 0 8 68
10 0 0 2 0 8 60
0 0 0 2 0 9 64
1 0 0 2 0 9 60
2 0 0 2 0 9 76
4 0 0 2 0 9 64
5 0 0 2 0 9 76
6 0 0 2 0 9 60
7 0 0 2 0 9 64
8 0 0 2 0 9 60
9 0 0 2 0 9 64
10 0 0 2 0 9 60
0 0 0 2 0 10 60
1 0 0 2 0 10 60
2 0 0 2 0 10 76
4 0 0 2 0 10 60
5 0 0 2 0 10 76
6 0 0 2 0 10 60
7 0 0 2 0 10 60
8 0 0 2 0 10 60
9 0 0 2 0 10 60
10 0 0 2 0 10 60
0 0 0 2 0 11 52
1 0 0 2 0 11 60
2 0 0 2 0 11 76
4 0 0 2 0 11 52
5 0 0 2 0 11 76
6 0 0 2 0 11 60
7 0 0 2 0 11 52
8 0 0 2 0 11 60
9 0 0 2 0 11 52
10 0 0 2 0 11 48
0 0 0 2 0 12 40
1 0 0 2 0 12 60
2 0 0 2 0 12 76
4 0 0 2 0 12 40
5 0 0 2 0 12 76
6 0 0 2 0 12 60
7 0 0 2 0 12 40
8 0 0 2 0 12 60
9 0 0 2 0 12 40
10 0 0 2 0 12 48
0 0 0 2 0 13 28
1 0 0 2 0 13 60
2 0 0 2 0 13 76
4 0 0 2 0 13 28
5 0 0 2 0 13 72
6 0 0 2 0 13 60
7 0 0 2 0 13 28
8 0 0 2 0 13 60
9 0 0 2 0 13 28
10 0 0 2 0 13 40
0 0 0 2 0 14 127
1 0 0 2 0 14 127
2 0 0 2 0 14 127
4 0 0 2 0 14 127
5 0 0 2 0 14 127
6 0 0 2 0 14 127
7 0 0 2 0 14 127
8 0 0 2 0 14 127
9 0 0 2 0 14 127
10 0 0 2 0 14 127
0 0 0 2 1 1 52
1 0 0 2 1 1 36
2 0 0 2 1 1 66
4 0 0 2 1 1 52
5 0 0 2 1 1 68
6 0 0 2 1 1 36
7 0 0 2 1 1 52
8 0 0 2 1 1 36
9 0 0 2 1 1 52
10 0 0 2 1 1 36
0 0 0 2 1 2 60
1 0 0 2 1 2 36
2 0 0 2 1 2 66
4 0 0 2 1 2 60
5 0 0 2 1 2 70
6 0 0 2 1 2 36
7 0 0 2 1 2 60
8 0 0 2 1 2 36
9 0 0 2 1 2 60
10 0 0 2 1 2 36
0 0 0 2 1 3 64
1 0 0 2 1 3 36
2 0 0 2 1 3 66
4 0 0 2 1 3 64
5 0 0 2 1 3 70
6 0 0 2 1 3 36
7 0 0 2 1 3 64
8 0 0 2 1 3 36
9 0 0 2 1 3 64
10 0 0 2 1 3 36
0 0 0 2 1 4 68
1 0 0 2 1 4 36
2 0 0 2 1 4 66
4 0 0 2 1 4 68
5 0 0 2 1 4 70
6 0 0 2 1 4 36
7 0 0 2 1 4 68
8 0 0 2 1 4 36
9 0 0 2 1 4 68
10 0 0 2 1 4 36
0 0 0 2 1 5 76
1 0 0 2 1 5 36
2 0 0 2 1 5 66
4 0 0 2 1 5 76
5 0 0 2 1 5 70
6 0 0 2 1 5 36
7 0 0 2 1 5 76
8 0 0 2 1 5 36
9 0 0 2 1 5 76
10 0 0 2 1 5 36
0 0 0 2 1 6 76
1 0 0 2 1 6 36
2 0 0 2 1 6 66
4 0 0 2 1 6 76
5 0 0 2 1 6 70
6 0 0 2 1 6 36
7 0 0 2 1 6 76
8 0 0 2 1 6 36
9 0 0 2 1 6 76
10 0 0 2 1 6 36
0 0 0 2 1 7 76
1 0 0 2 1 7 36
2 0 0 2 1 7 66
4 0 0 2 1 7 76
5 0 0 2 1 7 70
6 0 0 2 1 7 36
7 0 0 2 1 7 76
8 0 0 2 1 7 36
9 0 0 2 1 7 76
10 0 0 2 1 7 36
0 0 0 2 1 8 68
1 0 0 2 1 8 36
2 0 0 2 1 8 66
4 0 0 2 1 8 68
5 0 0 2 1 8 70
